job_uuid,client_uuid,driver_uuid,vehicle_uuid,client_device,is_subs_trip,request_type,status,request_date_time,request time,begintrip_date_time,begin trip time,dropoff_date_time,dropoff time,trip_distance_miles,payment_method,pickup_walking_distance_meters,vehicle_capacity,trip_date
1,4579,367,387,clientlite,TRUE,MICROSCHEDULING,completed,21-02-2021 00:00,17:21:00,21-02-2021 00:00,17:52:00,21-02-2021 00:00,6:41 PM,17.306313,cash,128.65079,15,21-02-2021
2,4758,395,127,clientlite,FALSE,PRESCHEDULING,rider_canceled,21-02-2021 00:00,07:32:00,,,,,0,Visa,645.038,15,21-02-2021
3,4886,,,android,FALSE,PRESCHEDULING,rider_canceled,05-02-2021 00:00,15:00:00,,,,,0,Visa,,,05-02-2021
4,2930,399,362,clientlite,TRUE,MICROSCHEDULING,completed,16-02-2021 00:00,07:17:00,16-02-2021 00:00,07:37:00,16-02-2021 00:00,08:04:00,17.107595,Visa,767.27466,15,16-02-2021
5,349,368,399,clientlite,FALSE,PRESCHEDULING,driver_canceled,10-02-2021 00:00,07:57:00,,,,,0,cash,0,15,10-02-2021
6,4027,210,271,clientlite,TRUE,MICROSCHEDULING,completed,14-02-2021 00:00,08:01:00,14-02-2021 00:00,08:23:00,14-02-2021 00:00,08:53:00,7.345371,cash,1077.8232,15,14-02-2021
7,5413,492,281,clientlite,TRUE,PRESCHEDULING,completed,04-02-2021 00:00,07:41:00,04-02-2021 00:00,07:52:00,04-02-2021 00:00,08:18:00,9.439092,Visa,0,15,04-02-2021
8,2278,,,android,FALSE,PRESCHEDULING,rider_canceled,06-02-2021 00:00,01:50:00,,,,,0,cash,,,05-02-2021
9,4287,435,317,clientlite,FALSE,PRESCHEDULING,completed,10-02-2021 00:00,08:56:00,10-02-2021 00:00,08:58:00,10-02-2021 00:00,09:54:00,13.867314,cash,680.60425,15,10-02-2021
10,4602,112,266,iphone,TRUE,PRESCHEDULING,completed,02-02-2021 00:00,07:28:00,02-02-2021 00:00,07:30:00,02-02-2021 00:00,08:05:00,24.37628,cash,213.83824,14,02-02-2021
11,1223,431,282,clientlite,TRUE,PRESCHEDULING,completed,28-02-2021 00:00,16:36:00,28-02-2021 00:00,16:47:00,28-02-2021 00:00,18:12:00,19.851208,Visa,408.4815,14,28-02-2021
12,2635,,,clientlite,FALSE,PRESCHEDULING,rider_canceled,13-02-2021 00:00,02:44:00,,,,,0,Visa,,,13-02-2021
13,4233,365,263,iphone,FALSE,MICROSCHEDULING,completed,28-02-2021 00:00,16:42:00,28-02-2021 00:00,17:16:00,28-02-2021 00:00,18:13:00,12.327791,cash,427.08673,15,28-02-2021
14,1102,240,70,clientlite,TRUE,MICROSCHEDULING,completed,07-02-2021 00:00,18:17:00,07-02-2021 00:00,18:24:00,07-02-2021 00:00,19:17:00,24.107786,MasterCard,0,15,07-02-2021
15,3144,381,467,android,FALSE,PRESCHEDULING,driver_canceled,07-02-2021 00:00,14:48:00,,,,,0,cash,0,14,07-02-2021
16,3021,289,107,iphone,FALSE,PRESCHEDULING,completed,11-02-2021 00:00,11:13:00,11-02-2021 00:00,11:27:00,11-02-2021 00:00,12:51:00,35.206787,cash,1812.3882,15,11-02-2021
17,5870,194,197,android,FALSE,MICROSCHEDULING,rider_canceled,07-02-2021 00:00,15:46:00,,,,,0,cash,771.36694,15,07-02-2021
18,2386,,,android,FALSE,PRESCHEDULING,rider_canceled,28-02-2021 00:00,03:13:00,,,,,0,cash,,,28-02-2021
19,886,105,32,iphone,TRUE,MICROSCHEDULING,completed,04-02-2021 00:00,17:04:00,04-02-2021 00:00,17:08:00,04-02-2021 00:00,18:38:00,40.705814,Visa,26.309427,15,04-02-2021
20,371,137,304,clientlite,FALSE,MICROSCHEDULING,completed,11-02-2021 00:00,14:00:00,11-02-2021 00:00,14:37:00,11-02-2021 00:00,15:21:00,9.88484,cash,272.50916,15,11-02-2021
